ID;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences
197;services;teacher;home;mother;1;1;0;no;no;no;no;yes;yes;yes;no;5;2;3;1;2;5;4
198;teacher;other;home;father;3;1;0;no;yes;yes;yes;yes;yes;yes;no;3;3;4;3;5;3;8
199;services;teacher;home;mother;2;1;1;no;yes;no;no;yes;yes;yes;no;4;2;4;2;3;2;24
200;teacher;teacher;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;5;2;1;2;3;0
201;health;other;home;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;5;1;5;2;2
202;other;other;reputation;mother;1;2;0;yes;yes;yes;yes;yes;yes;no;no;4;4;3;1;3;4;6
203;other;other;course;mother;1;2;0;no;yes;yes;no;no;yes;no;no;4;4;4;1;3;1;4
204;other;other;reputation;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;5;3;2;1;2;3;18
205;services;services;reputation;mother;2;4;0;no;yes;yes;yes;no;yes;yes;no;5;3;5;1;1;5;6
206;at_home;services;home;mother;1;3;1;no;yes;yes;no;yes;yes;yes;yes;4;4;3;3;4;5;28
207;services;other;course;mother;1;2;3;no;yes;yes;no;yes;yes;yes;no;2;3;3;2;2;4;5
208;teacher;other;other;mother;1;2;0;no;no;yes;yes;yes;yes;yes;yes;1;3;2;1;1;1;10
209;at_home;other;home;mother;2;1;0;no;yes;yes;no;yes;yes;no;no;4;3;2;1;4;5;6
210;teacher;other;reputation;mother;2;3;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;2;1;1;4;6
211;other;other;reputation;other;1;4;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;2;3;10
212;services;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;5;3;5;4;5;3;13
213;other;other;reputation;mother;1;2;0;yes;yes;yes;no;yes;yes;yes;no;3;3;4;1;1;4;0
214;services;other;home;mother;1;2;1;no;yes;yes;yes;yes;yes;yes;no;4;4;4;2;4;5;15
215;services;other;other;mother;1;1;0;no;yes;yes;no;yes;yes;no;no;5;2;1;1;2;3;12
216;other;other;reputation;mother;2;2;0;no;no;yes;no;yes;yes;yes;no;4;4;4;1;3;1;2
217;other;other;reputation;mother;1;2;2;no;no;yes;no;yes;yes;yes;yes;3;4;5;2;4;1;22
218;services;health;home;father;1;2;1;no;yes;yes;no;yes;yes;yes;no;3;2;4;2;4;4;13
219;at_home;other;home;father;2;1;0;no;yes;yes;no;yes;yes;no;no;3;3;3;1;4;3;3
220;at_home;at_home;course;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;1;4;4
221;at_home;services;reputation;mother;2;2;0;no;yes;no;yes;yes;yes;yes;no;4;2;5;1;2;5;2
222;at_home;other;reputation;mother;1;3;1;no;yes;no;yes;yes;yes;no;yes;4;3;4;1;1;5;0
223;services;teacher;other;mother;1;2;0;yes;no;no;no;yes;yes;yes;no;2;3;1;1;1;3;2
224;other;other;home;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;3;3;3;5;5;4;0
225;teacher;services;home;mother;1;3;0;no;yes;no;yes;no;yes;yes;no;5;3;2;1;1;5;0
226;other;other;reputation;mother;1;2;1;no;no;no;yes;yes;yes;yes;yes;5;3;3;1;1;4;16
227;other;other;course;mother;1;2;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;3;3;10
228;services;services;reputation;father;1;2;0;no;yes;yes;no;no;yes;yes;no;5;3;3;1;3;3;2
229;at_home;other;course;mother;4;2;0;yes;yes;yes;yes;yes;yes;yes;yes;4;3;2;4;5;3;14
230;other;other;course;mother;2;3;0;no;no;no;yes;yes;yes;yes;yes;3;2;3;1;2;3;10
231;health;other;reputation;father;1;2;0;no;no;no;yes;yes;yes;yes;yes;3;2;3;1;2;3;14
232;other;other;course;father;2;2;0;no;yes;yes;yes;yes;yes;yes;no;4;5;2;1;1;1;4
233;teacher;teacher;reputation;mother;1;2;0;yes;yes;no;yes;yes;yes;yes;yes;4;5;5;1;3;2;14
234;health;other;reputation;father;1;2;0;no;yes;yes;yes;yes;yes;yes;no;4;2;4;2;4;1;2
235;other;other;home;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;3;4;2;1;1;5;18
236;at_home;other;reputation;mother;2;3;0;no;no;no;yes;yes;yes;yes;yes;5;3;3;1;3;2;10
237;other;other;home;father;1;2;0;no;no;yes;yes;no;yes;yes;yes;4;4;2;5;5;4;4
238;other;other;home;mother;1;1;0;no;no;no;no;yes;yes;yes;yes;4;5;2;1;1;5;20
239;at_home;services;course;mother;3;2;0;no;no;no;yes;yes;yes;no;no;2;1;1;1;1;3;2
240;other;services;reputation;father;1;2;1;no;no;no;no;yes;no;yes;no;5;5;4;3;5;2;0
241;health;other;course;mother;2;2;0;no;no;no;yes;yes;yes;yes;yes;2;5;5;1;4;5;14
242;teacher;other;course;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;3;3;3;2;3;4;2
243;teacher;other;course;mother;1;1;0;no;no;no;yes;no;yes;yes;no;5;4;5;1;1;3;0
244;services;services;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;5;3;2;1;2;5;0
245;other;other;course;other;2;3;0;no;yes;yes;no;no;yes;yes;yes;4;4;4;1;1;3;0
246;other;other;course;mother;3;1;0;no;no;no;no;yes;yes;yes;no;4;3;3;1;1;4;6
247;other;other;course;father;2;1;0;no;no;no;no;yes;yes;yes;no;5;2;2;1;1;2;4
248;services;services;other;mother;1;1;3;no;no;no;no;no;no;yes;yes;5;4;5;5;5;1;16
249;other;services;course;mother;1;2;1;no;yes;no;no;yes;yes;yes;yes;4;3;3;1;3;5;8
250;other;other;other;mother;1;1;0;no;no;yes;no;no;yes;yes;no;4;3;2;2;4;5;0
251;services;other;course;mother;2;1;1;no;no;no;no;yes;no;yes;no;4;4;5;2;4;5;0
252;at_home;other;reputation;other;3;2;0;yes;yes;no;no;no;yes;yes;no;5;3;3;1;3;2;6
253;services;services;other;mother;1;1;1;no;no;no;no;no;no;yes;no;3;2;5;2;5;5;4
254;other;other;course;mother;2;1;0;no;no;no;yes;no;yes;no;no;3;3;2;1;3;3;0
255;other;other;course;mother;1;1;0;no;no;no;no;no;yes;yes;no;4;4;2;2;4;5;0
256;health;other;course;mother;2;1;1;no;yes;no;yes;yes;yes;yes;no;4;4;4;1;2;5;2
257;teacher;services;reputation;mother;1;4;0;no;yes;yes;yes;yes;yes;yes;no;4;2;3;1;1;4;6
258;services;at_home;reputation;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;3;1;1;1;1;12
259;other;other;home;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;5;2;4;1;2;4;8
260;services;services;course;father;1;4;0;no;no;yes;yes;yes;yes;yes;yes;3;4;1;1;1;2;0
261;services;other;home;father;1;2;0;no;yes;yes;no;yes;yes;yes;yes;3;1;2;1;3;2;21
262;teacher;other;course;mother;1;2;0;no;yes;yes;no;no;yes;yes;no;4;3;2;1;1;3;2
263;other;other;course;mother;1;3;0;no;no;no;yes;no;yes;no;no;5;3;2;1;1;3;1
264;other;other;home;mother;1;3;0;no;no;no;yes;no;yes;no;no;3;2;3;1;1;4;4
265;at_home;services;home;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;3;1;1;3;0
266;other;other;reputation;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;no;4;2;5;3;4;1;13
267;services;other;other;mother;1;2;0;no;no;yes;yes;yes;yes;yes;yes;5;4;4;3;4;5;2
268;teacher;other;reputation;mother;2;2;0;no;no;yes;yes;yes;yes;yes;no;4;3;4;2;2;4;8
269;health;other;reputation;father;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;5;4;5;1;3;5;10
270;other;other;reputation;mother;2;2;0;no;yes;no;no;yes;no;yes;yes;4;3;5;1;2;3;0
271;other;services;home;other;1;2;2;no;yes;yes;yes;yes;yes;yes;no;4;3;5;3;3;5;15
272;other;services;reputation;father;1;4;0;no;yes;yes;yes;yes;yes;yes;yes;4;5;5;1;3;2;4
273;other;other;home;mother;2;2;0;no;yes;yes;no;no;yes;no;no;4;4;3;1;1;3;2
274;at_home;at_home;home;mother;1;2;0;no;yes;yes;yes;no;yes;no;yes;3;5;2;2;2;1;2
275;at_home;health;reputation;mother;2;2;0;no;yes;yes;no;yes;yes;yes;yes;4;3;3;1;1;1;2
276;services;other;course;mother;2;2;0;yes;yes;yes;no;yes;yes;yes;yes;4;4;4;2;3;5;6
277;other;services;home;mother;2;2;0;no;no;no;no;no;no;yes;yes;4;1;1;1;1;5;75
278;teacher;services;home;mother;2;1;0;no;no;yes;yes;yes;yes;yes;no;3;2;4;1;4;3;22
279;health;health;reputation;father;1;2;1;yes;yes;no;yes;yes;yes;yes;yes;2;4;4;1;1;4;15
280;teacher;services;course;mother;2;1;0;no;no;yes;yes;yes;yes;yes;no;4;2;3;1;2;1;8
281;services;other;home;mother;2;1;0;no;no;yes;yes;yes;yes;yes;yes;4;5;4;2;4;5;30
282;teacher;services;home;mother;1;1;1;no;no;no;no;yes;yes;yes;no;4;4;4;3;4;3;19
283;at_home;other;reputation;mother;2;4;0;no;yes;yes;yes;yes;yes;no;no;5;2;2;1;1;3;1
284;other;other;home;mother;2;2;0;yes;no;no;yes;yes;yes;yes;no;5;4;4;1;1;4;4
285;other;other;course;mother;1;2;0;no;yes;no;no;no;yes;yes;no;5;4;5;1;2;5;4
286;other;other;reputation;father;1;2;0;no;no;yes;no;no;yes;yes;no;4;3;3;1;2;4;2
287;at_home;at_home;other;mother;1;3;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;2;2;5
288;services;teacher;reputation;mother;1;3;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;3;6
289;services;services;reputation;mother;1;3;0;no;no;yes;yes;yes;yes;yes;no;4;2;4;1;3;2;6
290;teacher;teacher;reputation;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;5;4;3;1;1;2;9
291;teacher;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;2;1;4;5;11
292;health;services;reputation;mother;1;3;0;no;yes;yes;no;yes;yes;yes;no;4;2;2;1;2;3;0
293;services;at_home;reputation;mother;1;2;1;no;no;no;no;yes;yes;yes;yes;5;4;3;1;1;5;12
294;services;other;reputation;mother;2;4;0;no;yes;yes;no;yes;yes;no;no;3;1;2;1;1;3;6
295;services;other;reputation;mother;2;3;0;no;yes;yes;yes;yes;yes;yes;no;5;4;2;1;1;4;8
296;health;other;home;mother;1;1;0;no;yes;yes;no;yes;yes;yes;no;4;4;3;1;3;5;4
297;health;other;reputation;other;2;2;0;no;yes;yes;yes;yes;yes;yes;no;2;3;4;2;3;2;0
298;other;other;home;other;2;2;0;no;yes;yes;no;yes;yes;yes;yes;4;4;5;1;2;2;10
299;other;other;reputation;father;1;4;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;3;0
300;teacher;teacher;home;mother;1;1;0;no;yes;yes;no;yes;yes;yes;yes;1;4;2;2;2;1;5
301;health;other;home;mother;1;2;0;no;yes;no;no;yes;yes;yes;yes;4;2;4;1;1;4;14
302;other;teacher;home;father;2;1;0;no;no;yes;no;yes;yes;yes;no;4;1;1;2;2;5;0
303;other;other;reputation;mother;2;3;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;3;0
304;health;health;reputation;father;1;4;0;no;yes;yes;yes;no;yes;yes;no;5;2;2;1;2;5;0
305;other;other;home;other;1;2;1;no;yes;no;yes;yes;yes;yes;yes;4;4;4;1;1;3;20
306;services;at_home;reputation;other;1;2;1;no;yes;yes;yes;yes;yes;yes;no;4;4;3;1;1;3;8
307;services;other;course;other;1;1;0;no;no;no;yes;yes;yes;no;no;5;5;3;1;1;5;0
308;teacher;services;reputation;other;2;1;1;no;yes;yes;no;yes;yes;yes;yes;4;3;4;1;1;4;38
309;other;services;reputation;father;1;2;1;no;no;no;yes;yes;yes;no;yes;4;5;3;1;2;5;0
310;at_home;other;reputation;other;1;2;1;yes;yes;no;yes;no;yes;yes;no;4;4;3;1;3;3;18
311;services;services;home;other;1;2;1;no;no;no;yes;no;yes;no;yes;4;2;4;2;2;3;0
312;at_home;other;other;other;3;2;0;no;yes;no;no;yes;no;yes;yes;3;4;1;1;1;2;20
313;other;services;course;other;1;2;1;no;no;no;no;no;yes;yes;no;4;5;2;2;2;4;3
314;services;other;reputation;other;2;2;1;no;yes;yes;no;no;yes;yes;yes;4;2;2;1;2;1;22
315;at_home;health;home;other;1;3;2;no;no;no;no;no;yes;yes;yes;4;1;2;1;1;3;14
316;other;other;reputation;other;1;3;1;no;no;no;no;yes;yes;yes;yes;4;1;2;1;1;3;40
317;services;other;course;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;no;5;3;3;1;2;1;0
318;other;other;course;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;4;1;1;5;9
319;at_home;services;course;father;1;3;0;no;yes;yes;yes;no;yes;yes;no;4;3;4;2;5;5;0
320;teacher;other;course;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;4;4;3;3;5;2
321;services;services;course;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;5;2;2;1;2;5;23
322;other;other;course;mother;1;2;0;no;yes;no;no;yes;yes;no;yes;4;2;2;1;1;3;12
323;services;services;course;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;3;3;2;2;2;3;3
324;services;services;course;father;1;3;0;no;yes;no;no;no;yes;yes;no;3;4;3;2;3;5;1
325;at_home;at_home;home;father;2;3;0;no;no;no;no;yes;yes;yes;no;3;3;3;2;3;2;0
326;other;other;course;mother;1;3;0;no;no;no;yes;yes;yes;yes;no;4;3;3;2;2;3;3
327;other;services;reputation;mother;1;1;0;no;no;no;yes;no;yes;yes;no;4;3;5;3;5;5;3
328;services;other;course;mother;4;1;0;no;yes;no;no;yes;yes;yes;no;4;4;5;5;5;4;8
329;teacher;services;course;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;5;4;4;1;3;4;7
330;teacher;teacher;course;mother;2;3;0;no;yes;yes;no;no;yes;yes;yes;4;3;3;1;2;4;4
331;other;other;course;mother;1;4;0;no;yes;no;yes;yes;yes;yes;no;4;5;5;2;4;5;2
332;at_home;other;course;father;1;3;0;no;yes;no;no;yes;yes;yes;yes;4;4;3;1;1;5;7
333;services;services;home;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;5;3;4;1;1;4;0
334;other;other;home;other;1;2;0;no;no;no;yes;no;yes;yes;yes;4;3;3;1;1;2;0
335;at_home;other;course;mother;2;4;0;no;no;no;yes;yes;yes;no;no;4;4;4;1;1;4;0
336;services;other;course;mother;1;3;0;no;no;no;no;yes;yes;yes;no;4;4;5;1;3;5;16
337;services;at_home;home;other;1;3;1;no;no;yes;no;yes;yes;no;no;5;4;3;1;2;5;12
338;other;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;4;3;2;2;3;2;0
339;services;services;home;mother;1;4;0;no;yes;no;no;yes;yes;yes;no;5;3;3;1;1;1;7
340;other;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;2;3;2;4
341;services;services;home;other;1;3;1;no;no;yes;yes;yes;yes;yes;yes;4;3;4;1;3;3;4
342;teacher;services;home;father;1;2;1;no;yes;no;yes;yes;yes;yes;no;4;3;3;2;2;2;0
343;services;other;home;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;4;3;3;1;3;5;11
344;at_home;at_home;home;father;1;2;1;no;yes;no;no;yes;yes;yes;yes;3;3;1;1;2;4;0
345;at_home;other;course;mother;1;3;0;no;yes;no;no;yes;yes;yes;no;4;3;3;1;2;3;4
346;other;services;other;mother;1;3;0;no;no;no;no;yes;yes;yes;yes;5;4;3;2;3;1;7
347;teacher;services;course;mother;1;3;0;no;no;no;no;yes;yes;yes;yes;5;3;2;1;2;4;9
348;teacher;other;course;mother;1;3;0;no;yes;yes;no;yes;yes;yes;yes;5;4;5;2;3;5;0
349;health;other;reputation;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;3;1;3;4;0
350;other;other;course;mother;2;1;1;no;yes;no;no;no;yes;yes;no;2;5;5;5;5;5;10
351;other;services;home;other;3;2;3;no;no;no;no;yes;yes;yes;no;5;4;4;3;3;2;8
352;health;other;course;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;4;5;4;2;3;3;2
353;at_home;services;course;mother;1;1;1;no;no;no;no;yes;no;yes;yes;4;3;3;2;3;3;7
354;other;other;home;other;3;1;1;no;yes;no;no;yes;yes;yes;no;4;4;4;3;3;5;4
355;services;other;home;mother;2;2;0;no;yes;yes;yes;no;yes;yes;yes;4;5;5;1;3;2;4
356;services;services;course;father;1;2;0;no;yes;no;no;yes;yes;no;yes;5;3;4;1;1;5;0
357;teacher;services;other;father;2;2;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;2;5;4
358;services;other;reputation;mother;2;2;0;no;no;no;no;yes;yes;no;yes;1;2;3;1;2;5;2
359;other;services;home;father;2;1;0;no;no;no;no;no;yes;yes;yes;3;3;2;1;2;3;4
360;at_home;services;course;father;2;3;0;no;no;no;no;yes;yes;yes;no;5;3;2;1;1;4;0
361;at_home;other;course;mother;3;2;0;no;no;no;no;yes;yes;no;yes;4;3;4;1;4;5;0
362;at_home;other;other;mother;2;2;1;no;no;no;yes;no;no;no;no;4;4;3;2;3;5;2
363;services;services;other;mother;2;2;0;no;yes;no;no;yes;yes;yes;yes;4;3;2;1;3;3;0
364;at_home;at_home;course;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;2;3;4;1;1;1;0
365;other;services;course;father;2;2;0;no;no;no;no;no;yes;no;no;3;2;2;1;2;3;0
366;at_home;other;course;mother;2;2;0;no;yes;yes;no;yes;yes;no;no;3;3;4;2;4;3;4
367;teacher;services;other;mother;2;3;0;no;no;yes;no;yes;yes;yes;yes;4;2;2;2;2;5;0
368;other;services;reputation;mother;3;1;1;no;yes;yes;no;yes;yes;yes;yes;5;2;1;1;2;1;0
369;at_home;services;course;father;2;1;0;no;yes;yes;no;yes;yes;yes;yes;5;2;3;1;2;4;0
370;other;teacher;other;father;3;2;0;no;yes;yes;no;no;yes;yes;yes;3;2;2;4;2;5;10
371;services;services;home;other;2;2;2;no;no;no;yes;yes;yes;no;yes;3;2;2;1;1;3;4
372;at_home;services;other;father;3;1;0;no;yes;yes;yes;yes;no;yes;yes;4;3;3;2;3;3;3
373;other;at_home;home;mother;1;3;0;no;no;no;yes;yes;yes;no;yes;3;4;3;1;1;3;8
374;other;other;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;3;5;5;1;3;1;14
375;other;other;reputation;mother;2;3;0;no;no;no;no;yes;yes;yes;no;5;4;4;1;1;1;0
376;other;other;home;mother;4;3;0;no;no;no;no;yes;yes;yes;no;4;3;2;1;2;4;2
377;health;other;course;other;2;3;2;no;yes;yes;no;no;yes;yes;yes;5;4;3;1;1;3;4
378;teacher;services;course;mother;1;2;0;no;no;yes;yes;yes;yes;yes;no;5;4;3;3;4;2;4
379;other;other;home;mother;1;2;0;no;no;yes;no;yes;yes;yes;yes;4;1;3;1;2;1;0
380;at_home;other;reputation;mother;1;2;0;no;yes;yes;yes;no;yes;yes;no;4;5;4;2;3;1;17
381;teacher;teacher;home;father;1;2;0;no;no;yes;yes;no;yes;yes;no;3;2;4;1;4;2;4
382;other;other;other;mother;2;1;0;no;no;no;yes;no;yes;yes;yes;4;4;3;1;3;5;5
383;other;services;home;father;2;2;0;no;no;no;yes;yes;yes;yes;no;4;4;3;1;1;3;2
384;other;services;other;mother;2;1;1;no;no;no;no;yes;yes;no;no;4;3;2;1;3;5;0
385;other;other;home;father;2;1;1;no;no;yes;no;yes;yes;no;no;5;4;3;4;3;3;14
386;at_home;other;other;mother;2;3;0;no;no;yes;no;yes;yes;no;no;5;3;3;1;3;4;2
387;teacher;at_home;reputation;mother;3;1;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;3;2;2;5;7
388;services;other;course;mother;1;3;1;no;no;no;yes;no;yes;yes;no;5;4;2;1;2;5;0
389;teacher;services;course;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;3;4;1;1;1;0
390;other;other;course;mother;2;2;1;no;no;no;yes;yes;yes;no;no;1;1;1;1;1;5;0
391;services;services;course;other;1;2;2;no;yes;yes;no;yes;yes;no;no;5;5;4;4;5;4;11
392;services;services;course;mother;2;1;0;no;no;no;no;no;yes;yes;no;2;4;5;3;4;2;3
393;other;other;course;other;1;1;3;no;no;no;no;no;yes;no;no;5;5;3;3;3;3;3
394;services;other;course;mother;3;1;0;no;no;no;no;no;yes;yes;no;4;4;1;3;4;5;0
395;other;at_home;course;father;1;1;0;no;no;no;no;yes;yes;yes;no;3;2;3;3;3;5;5
